total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
1.90735e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
6.69956e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.341667,0,1,0,8,1,0,8,0,0,0,1,0:1;
0.000123024,0,9.53674e-07,0,9.53674e-07,2,0,2,0,2,0,0,9.53674e-07,0,0,0.01,0.176667,1,2,0,170,1,0,8,0,0,0,1,0:1;1:1;
0.00018692,0,9.53674e-07,0,9.53674e-07,4,9.53674e-07,3,0,3,9.53674e-07,0,2.14577e-06,0,0,0.01,0.168333,1,3,0,330,2,0,16,0,0,0,1,0:1;1:2;
0.000259876,0,9.53674e-07,0,1.90735e-06,14,3.8147e-06,12,0,12,5.00679e-06,0,5.00679e-06,0,0,0.01,0.126667,1,12,0,1770,11,0,128,0,0,0,1,0:1;1:11;
0.000710011,0,9.53674e-07,0,0.000100613,531,5.8651e-05,297,4.79221e-05,295,4.31538e-05,0,5.98431e-05,0,0,0.01,0.118333,1,295,0,47050,294,0,4096,0,0,0,1,0:1;1:294;
0.034116,0.033987,9.53674e-07,0.033983,0.00594664,24880,0.00490046,20459,0.00735116,19864,0.00444412,1,0.00480819,0,0,0.01,0.118333,1,19864,1,3178090,19863,1,262144,0,0,0,1,1:19863;
0.0358989,0.033987,9.53674e-07,0.033983,0.00594664,24880,0.00490046,20459,0.00735116,19864,0.00444412,1,0.00480819,0,0,0.01,0.118333,1,19864,1,3177850,19863,1,262144,0,0,0,1,1:19858;
0.181574,0.179549,3.69549e-05,0.179531,0.0309606,145342,0.0253265,118131,0.0377746,112777,0.0222204,6,0.0281658,0,0,0.02,0.118333,1,112777,6,18043930,112771,1,1048576,0,0,0,1,1:19853;2:92913;
0.611323,0.179549,3.69549e-05,0.179531,0.0309606,145342,0.0253265,118131,0.0377746,112777,0.0222204,6,0.0281658,0,0,0.02,0.118333,1,112772,6,18043370,112771,1,1048576,0,0,0,1,1:19853;2:92913;
0.61151,0.179549,3.69549e-05,0.179531,0.0309606,145342,0.0253265,118131,0.0377746,112777,0.0222204,6,0.0281658,0,0,0.02,0.118333,1,112772,6,18043372,112771,1,1048576,0,0,0,1,1:19853;2:92913;
