total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
9.53674e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
5.31673e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0,1,0,8,1,0,8,0,0,0,1,0:1;
0.000194073,0,0,0,1.78814e-05,75,1.16825e-05,73,1.16825e-05,73,1.26362e-05,0,7.15256e-06,0,0,0.01,0.235,1,73,0,11530,72,0,1024,0,0,0,1,0:1;1:72;
0.000311136,0,0,0,2.47955e-05,136,2.69413e-05,134,1.95503e-05,134,1.93119e-05,0,1.83582e-05,0,0,0.01,0.226667,1,134,0,21290,133,0,2048,0,0,0,1,0:1;1:133;
0.0151951,0,0,0,0.00197601,13259,0.00250196,12429,0.0031929,11968,0.00203228,0,0.0020957,0,0,0.01,0.218333,1,11968,0,1914730,11967,0,131072,0,0,0,1,0:1;1:11967;
0.021167,0,0,0,0.00258255,16948,0.00340033,16094,0.00477028,15595,0.00292969,0,0.00298047,0,0,0.01,0.201667,1,15595,0,2495050,15594,0,131072,0,0,0,1,0:1;1:15594;
0.033756,0.0336409,0,0.0336361,0.00370598,24710,0.00533891,23824,0.00792861,23306,0.0048871,1,0.00480509,0,0,0.01,0.201667,1,23306,1,3728810,23305,1,262144,0,0,0,1,1:23305;
0.0363061,0.0336409,0,0.0336361,0.00370598,24710,0.00533891,23824,0.00792861,23306,0.0048871,1,0.00480509,0,0,0.01,0.201667,1,23306,1,3707834,23305,1,262144,0,0,0,1,1:22868;
0.163861,0.161065,4.3869e-05,0.161048,0.0185168,122337,0.0250349,114309,0.0373847,112328,0.0216348,5,0.0270796,0,0,0.02,0.201667,1,112328,5,17951354,112323,1,1048576,0,0,0,1,1:22864;2:89022;
0.567433,0.161065,4.3869e-05,0.161048,0.0185168,122337,0.0250349,114309,0.0373847,112328,0.0216348,5,0.0270796,0,0,0.02,0.201667,1,111891,5,17902410,112323,1,1048576,0,0,0,1,1:22864;2:89022;
0.567604,0.161065,4.3869e-05,0.161048,0.0185168,122337,0.0250349,114309,0.0373847,112328,0.0216348,5,0.0270796,0,0,0.02,0.201667,1,111891,5,17902412,112323,1,1048576,0,0,0,1,1:22864;2:89022;
