total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
9.53674e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
2.31266e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.491667,0,1,0,8,1,0,8,0,0,0,1,0:1;
4.29153e-05,0,0,0,0,2,9.53674e-07,2,9.53674e-07,2,0,0,0,0,0,0.01,0.276667,1,2,0,170,1,0,8,0,0,0,1,0:1;1:1;
5.91278e-05,0,0,0,0,4,9.53674e-07,3,9.53674e-07,3,9.53674e-07,0,0,0,0,0.01,0.268333,1,3,0,330,2,0,16,0,0,0,1,0:1;1:2;
8.29697e-05,0,0,0,0,16,9.53674e-07,14,7.15256e-06,14,1.90735e-06,0,1.90735e-06,0,0,0.01,0.26,1,14,0,2090,13,0,128,0,0,0,1,0:1;1:13;
0.000108957,0,0,0,1.90735e-06,30,2.86102e-06,25,1.0252e-05,25,5.00679e-06,0,2.86102e-06,0,0,0.01,0.251667,1,25,0,3850,24,0,256,0,0,0,1,0:1;1:24;
0.00575995,0.00572205,0,0.00571799,0.000678301,4879,0.000826359,4858,0.0016315,4852,0.000657558,1,0.000823736,0,0,0.01,0.251667,1,4852,1,776170,4851,1,65536,0,0,0,1,1:4851;
0.00617695,0.00572205,0,0.00571799,0.000678301,4879,0.000826359,4858,0.0016315,4852,0.000657558,1,0.000823736,0,0,0.01,0.251667,1,4852,1,776122,4851,1,65536,0,0,0,1,1:4850;
0.043124,0.0425239,3.91006e-05,0.0425017,0.00681305,31309,0.00622463,31169,0.00816822,31152,0.00594759,7,0.00782323,0,0,0.02,0.245,2,31152,7,4984128,31144,1,262144,0,0,0,1,1:4844;2:26300;
0.0500109,0.0494847,3.91006e-05,0.0494597,0.00801134,35985,0.00719476,35830,0.00924087,35814,0.00722885,8,0.00904679,0,0,0.02,0.245,2,35814,8,5730046,35806,1,524288,0,0,0,1,1:4843;2:30962;
0.052423,0.0494847,3.91006e-05,0.0494597,0.00801134,35985,0.00719476,35830,0.00924087,35814,0.00722885,8,0.00904679,0,0,0.02,0.245,2,35814,8,5728942,35806,1,524288,0,0,0,1,1:4843;2:30939;
0.101525,0.0981739,8.72612e-05,0.0981331,0.0143905,79867,0.0144587,79506,0.0187089,79460,0.0144057,18,0.017628,0,0,0.02,0.236667,2,79460,18,12712304,79441,1,1048576,0,0,0,1,1:4833;2:74585;
0.106487,0.103455,8.72612e-05,0.103414,0.0150192,84414,0.0153377,84032,0.0196009,83983,0.0150735,19,0.0185103,0,0,0.02,0.236667,2,83983,19,13435982,83964,1,1048576,0,0,0,1,1:4832;2:79108;
0.11213,0.103455,8.72612e-05,0.103414,0.0150192,84414,0.0153377,84032,0.0196009,83983,0.0150735,19,0.0185103,0,0,0.02,0.236667,2,83983,19,13433150,83964,1,1048576,0,0,0,1,1:4817;2:79064;
0.131598,0.122865,0.000102997,0.122818,0.0176568,101794,0.0182152,101324,0.0233631,101267,0.0176847,23,0.022027,0,0,0.02,0.236667,2,101267,23,16198588,101244,1,1048576,0,0,0,1,1:4813;2:96348;
0.429673,0.122865,0.000102997,0.122818,0.0176568,101794,0.0182152,101324,0.0233631,101267,0.0176847,23,0.022027,0,0,0.02,0.236667,2,101184,23,16189292,101244,1,1048576,0,0,0,1,1:4813;2:96348;
0.429828,0.122865,0.000102997,0.122818,0.0176568,101794,0.0182152,101324,0.0233631,101267,0.0176847,23,0.022027,0,0,0.02,0.236667,2,101184,23,16189296,101244,1,1048576,0,0,0,1,1:4813;2:96348;
