total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
1.90735e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
0.000148058,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.216667,0,1,0,8,1,0,8,0,0,0,1,0:1;
0.000257015,0,1.90735e-06,0,4.76837e-06,5,2.38419e-06,5,9.53674e-07,5,1.90735e-06,0,4.05312e-06,0,0,0.001,0.101,1,5,0,650,4,0,32,0,0,0,1,0:1;1:4;
0.00179696,0,1.90735e-06,0,0.0004673,1738,0.000205517,788,0.000218153,788,0.000157356,0,0.000189781,0,0,0.001,0.0926667,1,788,0,125930,787,0,8192,0,0,0,1,0:1;1:787;
0.0278909,0.0276539,1.90735e-06,0.0276458,0.00517583,28373,0.00403786,21876,0.00604796,21490,0.00351071,1,0.00375962,0,0,0.001,0.0926667,1,21490,1,3438250,21489,1,262144,0,0,0,1,1:21489;
0.0306089,0.0276539,1.90735e-06,0.0276458,0.00517583,28373,0.00403786,21876,0.00604796,21490,0.00351071,1,0.00375962,0,0,0.001,0.0926667,1,21490,1,3437626,21489,1,262144,0,0,0,1,1:21476;
1.472,1.46861,0.000349045,1.46848,0.260698,1323959,0.204015,1006691,0.330383,1006305,0.189915,47,0.234012,0,0,0.002,0.0926667,1,1006305,47,161008026,1006258,1,8388608,0,0,0,1,1:21430;2:984815;
5.36854,1.46861,0.000349045,1.46848,0.260698,1323959,0.204015,1006691,0.330383,1006305,0.189915,47,0.234012,0,0,0.002,0.0926667,1,1006292,47,161006570,1006258,1,8388608,0,0,0,1,1:21430;2:984815;
5.37512,1.46861,0.000349045,1.46848,0.260698,1323959,0.204015,1006691,0.330383,1006305,0.189915,47,0.234012,0,0,0.002,0.0926667,1,1006292,47,161006572,1006258,1,8388608,0,0,0,1,1:21430;2:984815;
