total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
9.53674e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
6.58035e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.025,0,1,0,8,1,0,8,0,0,0,1,0:1;
0.0279789,0.027853,0,0.027848,0.00572109,27564,0.00370407,16805,0.00560045,16603,0.00399995,1,0.00376868,0,0,0.01,0.025,0,16603,1,2656328,16602,1,262144,0,0,0,1,1:16602;
0.0294838,0.027853,0,0.027848,0.00572109,27564,0.00370407,16805,0.00560045,16603,0.00399995,1,0.00376868,0,0,0.01,0.025,0,16603,1,2656328,16602,1,262144,0,0,0,1,1:16602;
8.97571,8.96874,0.00474262,8.96353,3.84433,24832250,2.69202,13870453,0.00560045,16603,0.00399995,1000,0.00376868,0,0,0.02,0.025,0,15604,1,2608378,15603,1,262144,0,0,0,1,1:15603;
17.4992,17.4872,0.00922251,17.4773,7.49785,49456010,5.19137,27532213,0.00560045,16603,0.00399995,2000,0.00376868,0,0,0.02,0.025,0,14604,1,2560378,14603,1,262144,0,0,0,1,1:14603;
25.8541,25.8374,0.0133791,25.8233,10.9972,74115833,7.6974,41230036,0.00560045,16603,0.00399995,3000,0.00376868,0,0,0.02,0.025,0,13604,1,2512378,13603,1,262144,0,0,0,1,1:13603;
34.0299,34.0084,0.0176063,33.9899,14.3937,98261532,10.1233,54413735,0.00560045,16603,0.00399995,4000,0.00376868,0,0,0.02,0.025,0,12604,1,2464378,12603,1,262144,0,0,0,1,1:12603;
42.2446,42.2182,0.0219612,42.1954,17.8485,122251784,12.5197,67441987,0.00560045,16603,0.00399995,5000,0.00376868,0,0,0.02,0.025,0,11604,1,2416378,11603,1,262144,0,0,0,1,1:11603;
50.8843,50.8526,0.0267076,50.8249,21.5209,146857128,15.0865,81085331,0.00560045,16603,0.00399995,6000,0.00376868,0,0,0.02,0.025,0,10604,1,2368378,10603,1,262144,0,0,0,1,1:10603;
59.5175,59.4807,0.0311582,59.4484,25.1842,171797595,17.6775,95063798,0.00560045,16603,0.00399995,7000,0.00376868,0,0,0.02,0.025,0,9604,1,2320378,9603,1,262144,0,0,0,1,1:9603;
68.2285,68.1868,0.0355508,68.1497,28.8878,197181450,20.3339,109485653,0.00560045,16603,0.00399995,8000,0.00376868,0,0,0.02,0.025,0,8604,1,2272378,8603,1,262144,0,0,0,1,1:8603;
76.7204,76.674,0.0397291,76.6323,32.5345,222092379,22.8348,123434582,0.00560045,16603,0.00399995,9000,0.00376868,0,0,0.02,0.025,0,7604,1,2224378,7603,1,262144,0,0,0,1,1:7603;
85.0077,84.9567,0.0437255,84.9108,36.091,246415833,25.2198,136796036,0.00560045,16603,0.00399995,10000,0.00376868,0,0,0.02,0.025,0,6604,1,2176378,6603,1,262144,0,0,0,1,1:6603;
93.1918,93.1362,0.0478625,93.086,39.5995,270375043,27.5389,149793246,0.00560045,16603,0.00399995,11000,0.00376868,0,0,0.02,0.025,0,5604,1,2128378,5603,1,262144,0,0,0,1,1:5603;
101.607,101.546,0.0519347,101.492,43.1835,294995172,30.0233,163451375,0.00560045,16603,0.00399995,12000,0.00376868,0,0,0.02,0.025,0,4604,1,2080378,4603,1,262144,0,0,0,1,1:4603;
109.144,109.079,0.0556331,109.021,46.5,319831068,32.1923,177325271,0.00560045,16603,0.00399995,13000,0.00376868,0,0,0.02,0.025,0,3604,1,2032378,3603,1,262144,0,0,0,1,1:3603;
117.873,117.804,0.059577,117.741,50.2002,343775935,34.699,190308138,0.00560045,16603,0.00399995,14000,0.00376868,0,0,0.02,0.025,0,2604,1,1984378,2603,1,262144,0,0,0,1,1:2603;
126.284,126.211,0.0631964,126.144,53.8086,368361508,37.1518,203931711,0.00560045,16603,0.00399995,15000,0.00376868,0,0,0.02,0.025,0,1604,1,1936378,1603,1,262144,0,0,0,1,1:1603;
134.607,134.529,0.0666869,134.458,57.3758,392659897,39.5522,217268100,0.00560045,16603,0.00399995,16000,0.00376868,0,0,0.02,0.025,0,604,1,1888378,603,1,262144,0,0,0,1,1:603;
139.484,139.405,0.0684924,139.332,59.4774,407320763,40.9519,225318880,0.00560045,16603,0.00399995,16603,0.00376868,0,0,0.02,0.025,0,0,1,1859432,0,0,262144,0,0,0,1,
139.486,139.405,0.0684924,139.332,59.4774,407320763,40.9519,225318880,0.00560045,16603,0.00399995,16603,0.00376868,0,0,0.02,0.025,0,0,1,1859432,0,0,262144,0,0,0,1,
139.487,139.405,0.0684924,139.332,59.4774,407320763,40.9519,225318880,0.00560045,16603,0.00399995,16603,0.00376868,0,0,0.02,0.025,0,0,1,1859432,0,0,262144,0,0,0,1,
