total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
9.53674e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
5.10216e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.291667,0,1,0,8,1,0,8,0,0,0,1,0:1;
0.000100851,0,0,0,1.90735e-06,2,0,2,0,2,0,0,9.53674e-07,0,0,0.01,0.226667,1,2,0,170,1,0,8,0,0,0,1,0:1;1:1;
0.000148058,0,0,0,1.90735e-06,4,9.53674e-07,3,0,3,1.19209e-06,0,9.53674e-07,0,0,0.01,0.218333,1,3,0,330,2,0,16,0,0,0,1,0:1;1:2;
0.000192881,0,0,0,3.09944e-06,5,9.53674e-07,4,0,4,1.19209e-06,0,1.90735e-06,0,0,0.01,0.151667,1,4,0,490,3,0,32,0,0,0,1,0:1;1:3;
0.000663042,0,0,0,0.000141859,640,4.91142e-05,339,4.62532e-05,338,4.98295e-05,0,4.62532e-05,0,0,0.01,0.143333,1,338,0,53930,337,0,4096,0,0,0,1,0:1;1:337;
0.0303221,0.0302172,0,0.0302129,0.00595284,24761,0.00391078,21121,0.00683904,20629,0.00379944,1,0.00416446,0,0,0.01,0.143333,1,20629,1,3300490,20628,1,262144,0,0,0,1,1:20628;
0.0319068,0.0302172,0,0.0302129,0.00595284,24761,0.00391078,21121,0.00683904,20629,0.00379944,1,0.00416446,0,0,0.01,0.143333,1,20629,1,3299914,20628,1,262144,0,0,0,1,1:20616;
0.161428,0.159659,2.40803e-05,0.159642,0.0274091,144786,0.0217266,124059,0.0347674,120934,0.0195482,6,0.0246596,0,0,0.02,0.143333,1,120934,6,19348714,120928,1,1048576,0,0,0,1,1:20611;2:100305;
0.557042,0.159659,2.40803e-05,0.159642,0.0274091,144786,0.0217266,124059,0.0347674,120934,0.0195482,6,0.0246596,0,0,0.02,0.143333,1,120922,6,19347370,120928,1,1048576,0,0,0,1,1:20611;2:100305;
0.557209,0.159659,2.40803e-05,0.159642,0.0274091,144786,0.0217266,124059,0.0347674,120934,0.0195482,6,0.0246596,0,0,0.02,0.143333,1,120922,6,19347372,120928,1,1048576,0,0,0,1,1:20611;2:100305;
