total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
9.53674e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
3.00407e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.291667,0,1,0,8,1,0,8,0,0,0,1,0:1;
5.38826e-05,0,9.53674e-07,0,9.53674e-07,2,0,2,0,2,9.53674e-07,0,9.53674e-07,0,0,0.01,0.226667,1,2,0,170,1,0,8,0,0,0,1,0:1;1:1;
7.10487e-05,0,9.53674e-07,0,9.53674e-07,4,0,3,9.53674e-07,3,9.53674e-07,0,9.53674e-07,0,0,0.01,0.218333,1,3,0,330,2,0,16,0,0,0,1,0:1;1:2;
8.79765e-05,0,9.53674e-07,0,9.53674e-07,5,0,4,9.53674e-07,4,9.53674e-07,0,9.53674e-07,0,0,0.01,0.151667,1,4,0,490,3,0,32,0,0,0,1,0:1;1:3;
0.000468016,0,9.53674e-07,0,7.29561e-05,352,5.36442e-05,335,7.51019e-05,334,3.45707e-05,0,4.74453e-05,0,0,0.01,0.143333,1,334,0,53290,333,0,4096,0,0,0,1,0:1;1:333;
0.00669289,0.00664401,9.53674e-07,0.00663996,0.00121045,4875,0.000953913,4842,0.00131679,4816,0.000962734,1,0.000981569,0,0,0.01,0.143333,1,4816,1,770410,4815,1,65536,0,0,0,1,1:4815;
0.00725389,0.00664401,9.53674e-07,0.00663996,0.00121045,4875,0.000953913,4842,0.00131679,4816,0.000962734,1,0.000981569,0,0,0.01,0.143333,1,4816,1,769834,4815,1,65536,0,0,0,1,1:4803;
0.114895,0.114163,8.7738e-05,0.114132,0.0162246,102298,0.0169711,100891,0.0215342,100795,0.0166278,22,0.0201712,0,0,0.02,0.143333,1,100795,22,16126474,100773,1,1048576,0,0,0,1,1:4782;2:95979;
0.422883,0.114163,8.7738e-05,0.114132,0.0162246,102298,0.0169711,100891,0.0215342,100795,0.0166278,22,0.0201712,0,0,0.02,0.143333,1,100783,22,16125130,100773,1,1048576,0,0,0,1,1:4782;2:95979;
0.423074,0.114163,8.7738e-05,0.114132,0.0162246,102298,0.0169711,100891,0.0215342,100795,0.0166278,22,0.0201712,0,0,0.02,0.143333,1,100783,22,16125132,100773,1,1048576,0,0,0,1,1:4782;2:95979;
