total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
6.91414e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
0.000156879,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.225,0,1,0,8,1,0,8,0,0,0,1,0:1;
0.000247002,0,0,0,4.05312e-06,5,0,5,9.53674e-07,3,0,0,1.90735e-06,0,0,0.01,0.218333,1,3,0,330,2,0,16,0,0,0,1,0:1;1:2;
0.000463009,0,0,0,3.91006e-05,84,8.34465e-06,83,1.57356e-05,81,1.00136e-05,0,2.52724e-05,0,0,0.01,0.21,1,81,0,12810,80,0,1024,0,0,0,1,0:1;1:80;
0.000660896,0,0,0,5.36442e-05,114,1.52588e-05,113,1.97887e-05,111,1.85966e-05,0,4.05312e-05,0,0,0.01,0.201667,1,111,0,17610,110,0,1024,0,0,0,1,0:1;1:110;
0.009624,0,0,0,0.00195694,7876,0.00121689,6886,0.00151443,6773,0.00143075,0,0.00126076,0,0,0.01,0.193333,1,6773,0,1083530,6772,0,65536,0,0,0,1,0:1;1:6772;
0.026099,0,0,0,0.00431013,19700,0.00371075,18430,0.00534725,18224,0.00403595,0,0.00365949,0,0,0.01,0.185,1,18224,0,2915690,18223,0,262144,0,0,0,1,0:1;1:18223;
0.0326738,0.0324411,0,0.032434,0.00511336,24741,0.00461721,23465,0.00703192,23245,0.00485516,1,0.00447226,0,0,0.01,0.185,1,23245,1,3719050,23244,1,262144,0,0,0,1,1:23244;
0.0353029,0.0324411,0,0.032434,0.00511336,24741,0.00461721,23465,0.00703192,23245,0.00485516,1,0.00447226,0,0,0.01,0.185,1,23245,1,3684154,23244,1,262144,0,0,0,1,1:22517;
0.146615,0.143616,2.09808e-05,0.143564,0.0213346,121202,0.0207865,111056,0.0312176,109436,0.0194945,5,0.0229435,0,0,0.02,0.185,1,109436,5,17474714,109431,1,1048576,0,0,0,1,1:22513;2:86191;
0.492314,0.143616,2.09808e-05,0.143564,0.0213346,121202,0.0207865,111056,0.0312176,109436,0.0194945,5,0.0229435,0,0,0.02,0.185,1,108709,5,17393290,109431,1,1048576,0,0,0,1,1:22513;2:86191;
0.492557,0.143616,2.09808e-05,0.143564,0.0213346,121202,0.0207865,111056,0.0312176,109436,0.0194945,5,0.0229435,0,0,0.02,0.185,1,108709,5,17393292,109431,1,1048576,0,0,0,1,1:22513;2:86191;
