total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
1.19209e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
4.69685e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.025,0,1,0,8,1,0,8,0,0,0,1,0:1;
0.022084,0.0219719,9.53674e-07,0.0219681,0.00462961,27564,0.00300026,16805,0.00442767,16603,0.00285459,1,0.00290036,0,0,0.01,0.025,0,16603,1,2656328,16602,1,262144,0,0,0,1,1:16602;
0.0244582,0.0219719,9.53674e-07,0.0219681,0.00462961,27564,0.00300026,16805,0.00442767,16603,0.00285459,1,0.00290036,0,0,0.01,0.025,0,16603,1,2656328,16602,1,262144,0,0,0,1,1:16602;
7.17693,7.17112,0.00292659,7.16778,3.04002,24832250,2.10619,13870453,0.00442767,16603,0.00285459,1000,0.00290036,0,0,0.02,0.025,0,15604,1,2608378,15603,1,262144,0,0,0,1,1:15603;
14.3259,14.3167,0.00587177,14.3102,6.07328,49456010,4.19549,27532213,0.00442767,16603,0.00285459,2000,0.00290036,0,0,0.02,0.025,0,14604,1,2560378,14603,1,262144,0,0,0,1,1:14603;
20.7355,20.7233,0.00856638,20.714,8.82361,74115833,6.04873,41230036,0.00442767,16603,0.00285459,3000,0.00290036,0,0,0.02,0.025,0,13604,1,2512378,13603,1,262144,0,0,0,1,1:13603;
28.4266,28.4109,0.011637,28.3984,12.0306,98261532,8.28869,54413735,0.00442767,16603,0.00285459,4000,0.00290036,0,0,0.02,0.025,0,12604,1,2464378,12603,1,262144,0,0,0,1,1:12603;
35.1886,35.1697,0.0144525,35.1543,14.8856,122251784,10.2212,67441987,0.00442767,16603,0.00285459,5000,0.00290036,0,0,0.02,0.025,0,11604,1,2416378,11603,1,262144,0,0,0,1,1:11603;
41.6142,41.5921,0.0172334,41.5738,17.6178,146857128,12.0989,81085331,0.00442767,16603,0.00285459,6000,0.00290036,0,0,0.02,0.025,0,10604,1,2368378,10603,1,262144,0,0,0,1,1:10603;
48.5581,48.5328,0.0201561,48.5115,20.6101,171797595,14.1321,95063798,0.00442767,16603,0.00285459,7000,0.00290036,0,0,0.02,0.025,0,9604,1,2320378,9603,1,262144,0,0,0,1,1:9603;
55.802,55.7734,0.0230329,55.749,23.6917,197181450,16.3228,109485653,0.00442767,16603,0.00285459,8000,0.00290036,0,0,0.02,0.025,0,8604,1,2272378,8603,1,262144,0,0,0,1,1:8603;
63.6901,63.6582,0.0258424,63.6306,26.999,222092379,18.6804,123434582,0.00442767,16603,0.00285459,9000,0.00290036,0,0,0.02,0.025,0,7604,1,2224378,7603,1,262144,0,0,0,1,1:7603;
70.1066,70.0711,0.0290241,70.0408,29.758,246415833,20.5018,136796036,0.00442767,16603,0.00285459,10000,0.00290036,0,0,0.02,0.025,0,6604,1,2176378,6603,1,262144,0,0,0,1,1:6603;
76.648,76.6098,0.0314376,76.5767,32.5576,270375043,22.343,149793246,0.00442767,16603,0.00285459,11000,0.00290036,0,0,0.02,0.025,0,5604,1,2128378,5603,1,262144,0,0,0,1,1:5603;
83.3984,83.3574,0.0338578,83.3214,35.4122,294995172,24.3296,163451375,0.00442767,16603,0.00285459,12000,0.00290036,0,0,0.02,0.025,0,4604,1,2080378,4603,1,262144,0,0,0,1,1:4603;
90.1977,90.154,0.0361848,90.1153,38.3214,319831068,26.3109,177325271,0.00442767,16603,0.00285459,13000,0.00290036,0,0,0.02,0.025,0,3604,1,2032378,3603,1,262144,0,0,0,1,1:3603;
96.7239,96.6775,0.0384426,96.6365,41.0925,343775935,28.1577,190308138,0.00442767,16603,0.00285459,14000,0.00290036,0,0,0.02,0.025,0,2604,1,1984378,2603,1,262144,0,0,0,1,1:2603;
103.454,103.405,0.0406044,103.362,43.9562,368361508,30.1111,203931711,0.00442767,16603,0.00285459,15000,0.00290036,0,0,0.02,0.025,0,1604,1,1936378,1603,1,262144,0,0,0,1,1:1603;
110.097,110.046,0.042686,110,46.7719,392659897,32.0272,217268100,0.00442767,16603,0.00285459,16000,0.00290036,0,0,0.02,0.025,0,604,1,1888378,603,1,262144,0,0,0,1,1:603;
114.105,114.052,0.0437989,114.004,48.47,407320763,33.183,225318880,0.00442767,16603,0.00285459,16603,0.00290036,0,0,0.02,0.025,0,0,1,1859432,0,0,262144,0,0,0,1,
114.108,114.052,0.0437989,114.004,48.47,407320763,33.183,225318880,0.00442767,16603,0.00285459,16603,0.00290036,0,0,0.02,0.025,0,0,1,1859432,0,0,262144,0,0,0,1,
114.108,114.052,0.0437989,114.004,48.47,407320763,33.183,225318880,0.00442767,16603,0.00285459,16603,0.00290036,0,0,0.02,0.025,0,0,1,1859432,0,0,262144,0,0,0,1,
