total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
1.90735e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
0.000157833,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.216667,0,1,0,8,1,0,8,0,0,0,1,0:1;
0.00027585,0,9.53674e-07,0,3.33786e-06,5,2.86102e-06,5,3.09944e-06,5,3.8147e-06,0,1.90735e-06,0,0,0.001,0.101,1,5,0,650,4,0,32,0,0,0,1,0:1;1:4;
0.00270987,0,9.53674e-07,0,0.000564814,1738,0.000291586,788,0.000376225,788,0.00023675,0,0.000320196,0,0,0.001,0.0926667,1,788,0,125930,787,0,8192,0,0,0,1,0:1;1:787;
0.0406408,0.040385,9.53674e-07,0.04038,0.00667,28373,0.00555158,21876,0.00874591,21490,0.00580263,1,0.00557065,0,0,0.001,0.0926667,1,21490,1,3438250,21489,1,262144,0,0,0,1,1:21489;
0.042284,0.040385,9.53674e-07,0.04038,0.00667,28373,0.00555158,21876,0.00874591,21490,0.00580263,1,0.00557065,0,0,0.001,0.0926667,1,21490,1,3437626,21489,1,262144,0,0,0,1,1:21476;
1.84982,1.84749,0.000324249,1.84737,0.306329,1323959,0.250041,1006691,0.42914,1006305,0.240387,47,0.313877,0,0,0.002,0.0926667,1,1006305,47,161008026,1006258,1,8388608,0,0,0,1,1:21430;2:984815;
6.30473,1.84749,0.000324249,1.84737,0.306329,1323959,0.250041,1006691,0.42914,1006305,0.240387,47,0.313877,0,0,0.002,0.0926667,1,1006292,47,161006570,1006258,1,8388608,0,0,0,1,1:21430;2:984815;
6.31105,1.84749,0.000324249,1.84737,0.306329,1323959,0.250041,1006691,0.42914,1006305,0.240387,47,0.313877,0,0,0.002,0.0926667,1,1006292,47,161006572,1006258,1,8388608,0,0,0,1,1:21430;2:984815;
