total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
9.53674e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
5.57899e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.141667,0,1,0,8,1,0,8,0,0,0,1,0:1;
0.000287771,0,9.53674e-07,0,4.22001e-05,115,2.52724e-05,114,1.90735e-05,112,1.5974e-05,0,4.41074e-05,0,0,0.01,0.118333,1,112,0,17770,111,0,1024,0,0,0,1,0:1;1:111;
0.025811,0,9.53674e-07,0,0.00469494,21924,0.00428534,19109,0.00499392,15432,0.00354505,0,0.00348115,0,0,0.01,0.11,1,15432,0,2468970,15431,0,131072,0,0,0,1,0:1;1:15431;
0.0299268,0.0298159,9.53674e-07,0.0298109,0.00512314,24884,0.00486755,21883,0.00595045,18153,0.00409245,1,0.00398493,0,0,0.01,0.11,1,18153,1,2904330,18152,1,262144,0,0,0,1,1:18152;
0.0331578,0.0298159,9.53674e-07,0.0298109,0.00512314,24884,0.00486755,21883,0.00595045,18153,0.00409245,1,0.00398493,0,0,0.01,0.11,1,18153,1,2723850,18152,1,262144,0,0,0,1,1:14392;
0.192812,0.189276,4.91142e-05,0.189086,0.0380819,194130,0.0250676,117830,0.0360353,112978,0.0220761,8,0.0278652,0,0,0.02,0.11,1,112978,8,17895850,112970,1,1048576,0,0,0,1,1:14385;2:94825;
0.597425,0.189276,4.91142e-05,0.189086,0.0380819,194130,0.0250676,117830,0.0360353,112978,0.0220761,8,0.0278652,0,0,0.02,0.11,1,109218,8,17474730,112970,1,1048576,0,0,0,1,1:14385;2:94825;
0.598178,0.189276,4.91142e-05,0.189086,0.0380819,194130,0.0250676,117830,0.0360353,112978,0.0220761,8,0.0278652,0,0,0.02,0.11,1,109218,8,17474732,112970,1,1048576,0,0,0,1,1:14385;2:94825;
