total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
2.14577e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
6.50883e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.291667,0,1,0,8,1,0,8,0,0,0,1,0:1;
0.000117064,0,9.53674e-07,0,9.53674e-07,2,9.53674e-07,2,9.53674e-07,2,0,0,0,0,0,0.01,0.226667,1,2,0,170,1,0,8,0,0,0,1,0:1;1:1;
0.000166178,0,9.53674e-07,0,9.53674e-07,4,1.90735e-06,3,1.90735e-06,3,9.53674e-07,0,0,0,0,0.01,0.218333,1,3,0,330,2,0,16,0,0,0,1,0:1;1:2;
0.000218153,0,9.53674e-07,0,9.53674e-07,5,3.09944e-06,4,1.90735e-06,4,1.90735e-06,0,9.53674e-07,0,0,0.01,0.151667,1,4,0,490,3,0,32,0,0,0,1,0:1;1:3;
0.000691175,0,9.53674e-07,0,0.000116825,640,5.84126e-05,339,5.55515e-05,338,4.22001e-05,0,5.07832e-05,0,0,0.01,0.143333,1,338,0,53930,337,0,4096,0,0,0,1,0:1;1:337;
0.029083,0.0289609,9.53674e-07,0.0289571,0.00579476,24761,0.00403047,21121,0.00611997,20629,0.00371003,1,0.00366497,0,0,0.01,0.143333,1,20629,1,3300490,20628,1,262144,0,0,0,1,1:20628;
0.0308161,0.0289609,9.53674e-07,0.0289571,0.00579476,24761,0.00403047,21121,0.00611997,20629,0.00371003,1,0.00366497,0,0,0.01,0.143333,1,20629,1,3299914,20628,1,262144,0,0,0,1,1:20616;
0.16304,0.161097,2.90871e-05,0.161085,0.0273762,144786,0.0225983,124059,0.0342054,120934,0.0207934,6,0.0242431,0,0,0.02,0.143333,1,120934,6,19348714,120928,1,1048576,0,0,0,1,1:20611;2:100305;
0.579622,0.161097,2.90871e-05,0.161085,0.0273762,144786,0.0225983,124059,0.0342054,120934,0.0207934,6,0.0242431,0,0,0.02,0.143333,1,120922,6,19347370,120928,1,1048576,0,0,0,1,1:20611;2:100305;
0.57978,0.161097,2.90871e-05,0.161085,0.0273762,144786,0.0225983,124059,0.0342054,120934,0.0207934,6,0.0242431,0,0,0.02,0.143333,1,120922,6,19347372,120928,1,1048576,0,0,0,1,1:20611;2:100305;
