total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
3.69549e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.160584,0,1,0,8,1,0,8,0,0,0,1,0:1;
0.00010705,0,0,0,9.29832e-06,41,6.91414e-06,32,3.09944e-06,32,5.96046e-06,0,2.86102e-06,0,0,0.01,0.155985,1,32,0,4970,31,0,256,0,0,0,1,0:1;1:31;
0.000215054,0,0,0,1.74046e-05,121,1.69277e-05,110,1.88351e-05,110,1.5974e-05,0,2.67029e-05,0,0,0.01,0.148686,1,110,0,17450,109,0,1024,0,0,0,1,0:1;1:109;
0.00299811,0,0,0,0.000653267,4145,0.000459671,3134,0.000437021,2951,0.000367165,0,0.000332594,0,0,0.01,0.134088,1,2951,0,472010,2950,0,32768,0,0,0,1,0:1;1:2950;
0.011811,0,0,0,0.00225019,17461,0.0018065,12549,0.00212359,12205,0.00164509,0,0.00133824,0,0,0.01,0.126788,1,12205,0,1952650,12204,0,131072,0,0,0,1,0:1;1:12204;
0.0135641,0,0,0,0.00266623,20660,0.00205374,14459,0.00245333,13683,0.00186825,0,0.00149107,0,0,0.01,0.119489,1,13683,0,2189130,13682,0,131072,0,0,0,1,0:1;1:13682;
0.0179121,0.0178442,0,0.0178409,0.00339365,25981,0.00264406,18944,0.00342917,18005,0.00258207,1,0.00197172,0,0,0.01,0.119489,1,18005,1,2880650,18004,1,262144,0,0,0,1,1:18004;
0.019912,0.0178442,0,0.0178409,0.00339365,25981,0.00264406,18944,0.00342917,18005,0.00258207,1,0.00197172,0,0,0.01,0.119489,1,18005,1,2760506,18004,1,262144,0,0,0,1,1:15501;
0.282346,0.265387,0.000124454,0.265362,0.0584812,446809,0.0365267,249380,0.056288,241594,0.0314984,17,0.0415027,0,0,0.02,0.114891,2,241591,17,38534416,241573,1,2097152,0,0,0,1,1:15485;2:223589;
0.283719,0.265387,0.000124454,0.265362,0.0587428,448910,0.036706,250748,0.0565581,242690,0.0316324,17,0.0416961,0,0,0.02,0.114891,2,242687,17,38709776,242669,1,2097152,0,0,0,1,1:15485;2:224685;
0.283845,0.265387,0.000124454,0.265362,0.0587513,449004,0.036716,250842,0.0565815,242778,0.0316455,17,0.0417135,0,0,0.02,0.107591,2,242775,17,38723856,242757,1,2097152,0,0,0,1,1:15485;2:224773;
0.286778,0.284537,0.000124454,0.284512,0.0591393,452118,0.0370998,253704,0.0573559,245629,0.0319753,18,0.0422337,0,0,0.02,0.107591,2,245626,18,39180014,245608,1,2097152,0,0,0,1,1:15484;2:227624;
0.308066,0.284537,0.000124454,0.284512,0.0591393,452118,0.0370998,253704,0.0573559,245629,0.0319753,18,0.0422337,0,0,0.02,0.107591,2,245625,18,38103086,245608,1,2097152,0,0,0,1,1:14222;2:206451;
1.21294,1.18898,0.000484705,1.18886,0.255217,2023045,0.15363,1085326,0.234696,1011256,0.134957,82,0.170708,0,0,0.0345985,0.107591,2,1011229,82,160600828,1011148,1,8388608,0,0,0,1,1:14158;2:972078;
3.62145,1.18898,0.000484705,1.18886,0.255217,2023045,0.15363,1085326,0.234696,1011256,0.134957,82,0.170708,0,0,0.0345985,0.107591,2,986317,82,157810684,1011148,1,8388608,0,0,0,1,1:14158;2:972078;
3.62363,1.18898,0.000484705,1.18886,0.255217,2023045,0.15363,1085326,0.234696,1011256,0.134957,82,0.170708,0,0,0.0345985,0.107591,2,986317,82,157810688,1011148,1,8388608,0,0,0,1,1:14158;2:972078;
