total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
4.19617e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.306569,0,1,0,8,1,0,8,0,0,0,1,0:1;
7.39098e-05,0,9.53674e-07,0,9.53674e-07,2,0,1,0,1,0,0,0,0,0,0.01,0.185182,1,1,0,10,1,0,8,0,0,0,1,0:1;
0.000101805,0,9.53674e-07,0,1.90735e-06,4,0,2,9.53674e-07,2,0,0,0,0,0,0.01,0.134088,1,2,0,170,1,0,8,0,0,0,1,0:1;1:1;
0.000138998,0,9.53674e-07,0,5.00679e-06,16,0,13,5.00679e-06,13,1.19209e-06,0,0,0,0,0.01,0.0829927,1,13,0,1930,12,0,128,0,0,0,1,0:1;1:12;
0.000203848,0,9.53674e-07,0,1.88351e-05,71,2.86102e-06,56,1.09673e-05,54,6.67572e-06,0,3.09944e-06,0,0,0.01,0.0683942,1,54,0,8490,53,0,512,0,0,0,1,0:1;1:53;
0.00281,0,9.53674e-07,0,0.000688791,4744,0.000323296,2932,0.000388384,2719,0.000298738,0,0.000394344,0,0,0.01,0.0610949,1,2719,0,434890,2718,0,32768,0,0,0,1,0:1;1:2718;
0.00918698,0,9.53674e-07,0,0.00193691,16030,0.00120473,9734,0.00146985,9127,0.00124002,0,0.00127196,0,0,0.01,0.0537956,1,9127,0,1460170,9126,0,131072,0,0,0,1,0:1;1:9126;
0.0194359,0.0193641,9.53674e-07,0.019361,0.00342584,25981,0.00248957,17774,0.00376177,16959,0.00304055,1,0.00311065,0,0,0.01,0.0537956,1,16959,1,2713290,16958,1,262144,0,0,0,1,1:16958;
0.0214119,0.0193641,9.53674e-07,0.019361,0.00342584,25981,0.00248957,17774,0.00376177,16959,0.00304055,1,0.00311065,0,0,0.01,0.0537956,1,16959,1,2690394,16958,1,262144,0,0,0,1,1:16481;
1.05406,1.05151,0.000442266,1.05143,0.215234,1912877,0.135733,1100069,0.20525,1004150,0.128602,77,0.155195,0,0,0.0345985,0.0537956,1,1004149,77,160640842,1004072,1,8388608,0,0,0,1,1:16405;2:987191;
3.57943,1.05151,0.000442266,1.05143,0.215234,1912877,0.135733,1100069,0.20525,1004150,0.128602,77,0.155195,0,0,0.0345985,0.0537956,1,1003673,77,160587530,1004072,1,8388608,0,0,0,1,1:16405;2:987191;
3.57967,1.05151,0.000442266,1.05143,0.215234,1912877,0.135733,1100069,0.20525,1004150,0.128602,77,0.155195,0,0,0.0345985,0.0537956,1,1003673,77,160587532,1004072,1,8388608,0,0,0,1,1:16405;2:987191;
