total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
9.53674e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
5.88894e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.313869,0,1,0,8,1,0,8,0,0,0,1,0:1;
9.799e-05,0,9.53674e-07,0,9.53674e-07,2,0,1,0,1,0,0,0,0,0,0.01,0.177883,1,1,0,10,1,0,8,0,0,0,1,0:1;
0.000133991,0,9.53674e-07,0,1.90735e-06,4,0,2,9.53674e-07,2,0,0,1.19209e-06,0,0,0.01,0.126788,1,2,0,170,1,0,8,0,0,0,1,0:1;1:1;
0.00019598,0,9.53674e-07,0,6.91414e-06,16,1.90735e-06,13,1.90735e-06,13,2.86102e-06,0,1.19209e-06,0,0,0.01,0.0756934,1,13,0,1930,12,0,128,0,0,0,1,0:1;1:12;
0.00357604,0,9.53674e-07,0,0.000870705,4329,0.000467777,2786,0.000516176,2628,0.000370264,0,0.000480175,0,0,0.01,0.0683942,1,2628,0,420330,2627,0,32768,0,0,0,1,0:1;1:2627;
0.00362396,0,9.53674e-07,0,0.000871658,4331,0.000467777,2787,0.00051713,2629,0.000370264,0,0.000480175,0,0,0.01,0.0610949,1,2629,0,420490,2628,0,32768,0,0,0,1,0:1;1:2628;
0.023797,0.0237021,9.53674e-07,0.0236988,0.00464368,25981,0.00307965,18358,0.00504899,17314,0.00332952,1,0.00319529,0,0,0.01,0.0610949,1,17314,1,2770090,17313,1,262144,0,0,0,1,1:17313;
0.025182,0.0237021,9.53674e-07,0.0236988,0.00464368,25981,0.00307965,18358,0.00504899,17314,0.00332952,1,0.00319529,0,0,0.01,0.0610949,1,17314,1,2755930,17313,1,262144,0,0,0,1,1:17018;
1.41576,1.41375,0.000452757,1.41364,0.319851,1940350,0.181104,1140909,0.273394,1003797,0.157626,79,0.203518,0,0,0.02,0.0610949,1,1003793,79,160592762,1003714,1,8388608,0,0,0,1,1:16940;2:986483;
4.39153,1.41375,0.000452757,1.41364,0.319851,1940350,0.181104,1140909,0.273394,1003797,0.157626,79,0.203518,0,0,0.02,0.0610949,1,1003502,79,160560170,1003714,1,8388608,0,0,0,1,1:16940;2:986483;
4.39922,1.41375,0.000452757,1.41364,0.319851,1940350,0.181104,1140909,0.273394,1003797,0.157626,79,0.203518,0,0,0.02,0.0610949,1,1003502,79,160560172,1003714,1,8388608,0,0,0,1,1:16940;2:986483;
