total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
9.53674e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
9.5129e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.306569,0,1,0,8,1,0,8,0,0,0,1,0:1;
0.000164986,0,9.53674e-07,0,9.53674e-07,2,9.53674e-07,1,0,1,0,0,0,0,0,0.01,0.185182,1,1,0,10,1,0,8,0,0,0,1,0:1;
0.000228167,0,9.53674e-07,0,1.90735e-06,4,2.14577e-06,2,9.53674e-07,2,0,0,9.53674e-07,0,0,0.01,0.134088,1,2,0,170,1,0,8,0,0,0,1,0:1;1:1;
0.000310183,0,9.53674e-07,0,5.96046e-06,16,8.10623e-06,13,4.76837e-06,13,9.53674e-07,0,2.86102e-06,0,0,0.01,0.0829927,1,13,0,1930,12,0,128,0,0,0,1,0:1;1:12;
0.000441074,0,9.53674e-07,0,2.3365e-05,71,2.24113e-05,56,2.09808e-05,54,1.00136e-05,0,9.77516e-06,0,0,0.01,0.0683942,1,54,0,8490,53,0,512,0,0,0,1,0:1;1:53;
0.00535417,0,9.53674e-07,0,0.00129461,4744,0.000728369,2932,0.000916481,2719,0.000630856,0,0.000649452,0,0,0.01,0.0610949,1,2719,0,434890,2718,0,32768,0,0,0,1,0:1;1:2718;
0.018997,0,9.53674e-07,0,0.00391412,16030,0.00360727,9734,0.00344157,9127,0.0026381,0,0.00226521,0,0,0.01,0.0537956,1,9127,0,1460170,9126,0,131072,0,0,0,1,0:1;1:9126;
0.0335431,0.0333838,9.53674e-07,0.0333788,0.00590777,25981,0.0058465,17774,0.00686717,16959,0.00527453,1,0.00436497,0,0,0.01,0.0537956,1,16959,1,2713290,16958,1,262144,0,0,0,1,1:16958;
0.035404,0.0333838,9.53674e-07,0.0333788,0.00590777,25981,0.0058465,17774,0.00686717,16959,0.00527453,1,0.00436497,0,0,0.01,0.0537956,1,16959,1,2690394,16958,1,262144,0,0,0,1,1:16481;
1.71644,1.71378,0.000535488,1.7136,0.367546,1912877,0.237044,1100069,0.335012,1004150,0.199498,77,0.267761,0,0,0.0345985,0.0537956,1,1004149,77,160640842,1004072,1,8388608,0,0,0,1,1:16405;2:987191;
5.32474,1.71378,0.000535488,1.7136,0.367546,1912877,0.237044,1100069,0.335012,1004150,0.199498,77,0.267761,0,0,0.0345985,0.0537956,1,1003673,77,160587530,1004072,1,8388608,0,0,0,1,1:16405;2:987191;
5.32496,1.71378,0.000535488,1.7136,0.367546,1912877,0.237044,1100069,0.335012,1004150,0.199498,77,0.267761,0,0,0.0345985,0.0537956,1,1003673,77,160587532,1004072,1,8388608,0,0,0,1,1:16405;2:987191;
