total_time,evaluate_children_time,node_select_time,rule_evaluation_time,lower_bound_time,lower_bound_num,objective_time,objective_num,tree_insertion_time,tree_insertion_num,queue_insertion_time,evaluate_children_num,permutation_map_insertion_time,permutation_map_insertion_num,permutation_map_memory,current_lower_bound,tree_min_objective,tree_prefix_length,tree_num_nodes,tree_num_evaluated,tree_memory,queue_size,queue_min_length,queue_memory,pmap_size,pmap_null_num,pmap_discard_num,log_remaining_space_size,prefix_lengths
1.19209e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
4.91142e-05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.277372,0,1,0,8,1,0,8,0,0,0,1,0:1;
8.01086e-05,0,9.53674e-07,0,1.19209e-06,2,0,1,0,1,0,0,0,0,0,0.01,0.228978,1,1,0,10,1,0,8,0,0,0,1,0:1;
0.000108004,0,9.53674e-07,0,2.14577e-06,4,0,2,9.53674e-07,2,0,0,0,0,0,0.01,0.177883,1,2,0,170,1,0,8,0,0,0,1,0:1;1:1;
0.000136137,0,9.53674e-07,0,2.14577e-06,5,9.53674e-07,3,2.14577e-06,3,0,0,0,0,0,0.01,0.119489,1,3,0,330,2,0,16,0,0,0,1,0:1;1:2;
0.000174999,0,9.53674e-07,0,3.09944e-06,20,1.90735e-06,16,3.09944e-06,16,3.8147e-06,0,4.05312e-06,0,0,0.01,0.0756934,1,16,0,2410,15,0,128,0,0,0,1,0:1;1:15;
0.000209093,0,9.53674e-07,0,5.00679e-06,31,1.90735e-06,23,4.05312e-06,22,4.76837e-06,0,7.15256e-06,0,0,0.01,0.0683942,1,22,0,3370,21,0,256,0,0,0,1,0:1;1:21;
0.00278401,0,9.53674e-07,0,0.000672817,5110,0.000357628,2977,0.000376463,2743,0.000307322,0,0.000325918,0,0,0.01,0.0464964,1,2743,0,438730,2742,0,32768,0,0,0,1,0:1;1:2742;
0.00405717,0,9.53674e-07,0,0.000988483,7995,0.000508785,4249,0.000597239,3877,0.000451803,0,0.000450134,0,0,0.01,0.0391971,1,3877,0,620170,3876,0,32768,0,0,0,1,0:1;1:3876;
0.0121031,0.012027,9.53674e-07,0.0120242,0.00298572,25979,0.00165272,13595,0.00193191,11529,0.00144243,1,0.00119829,0,0,0.01,0.0391971,1,11529,1,1844490,11528,1,131072,0,0,0,1,1:11528;
0.0129471,0.012027,9.53674e-07,0.0120242,0.00298572,25979,0.00165272,13595,0.00193191,11529,0.00144243,1,0.00119829,0,0,0.01,0.0391971,1,11529,1,1788234,11528,1,131072,0,0,0,1,1:10356;
0.066931,0.0626609,5.50747e-05,0.0626464,0.0214958,180075,0.00921965,75261,0.00801539,45453,0.00553846,7,0.00671816,0,0,0.0272993,0.0272993,2,45452,6,7216032,45445,1,524288,0,0,0,1,1:10350;2:33924;
0.0692332,0.068223,5.50747e-05,0.0682063,0.0228779,193369,0.00921965,75261,0.00801539,45453,0.00553846,8,0.00671816,0,0,0.0272993,0.0272993,2,45452,7,7216030,45445,1,524288,0,0,0,1,1:10349;2:33924;
0.0750051,0.068223,5.50747e-05,0.0682063,0.0228779,193369,0.00921965,75261,0.00801539,45453,0.00553846,8,0.00671816,0,0,0.0272993,0.0272993,2,45448,7,5274430,45445,1,524288,0,0,0,1,1:3827;
3.99884,3.98783,0.00402164,3.98568,2.27064,24737183,0.500815,4028206,0.00801539,45453,0.00553846,1000,0.00671816,0,0,0.02,0.0272993,2,42917,7,5054446,42914,1,524288,0,0,0,1,1:2835;
7.8771,7.86189,0.007967,7.85788,4.43997,49413658,1.05292,8729430,0.00801539,45453,0.00553846,2000,0.00671816,0,0,0.02,0.0272993,2,39889,7,4779310,39886,1,524288,0,0,0,1,1:1835;
11.7941,11.7744,0.0121896,11.7686,6.69998,74528823,1.54577,12738181,0.00801539,45453,0.00553846,3000,0.00671816,0,0,0.02,0.0272993,2,35912,7,4397886,35909,1,524288,0,0,0,1,1:835;
14.9769,14.9449,0.0243802,14.9377,8.51954,95227756,1.94538,16095282,0.00801539,45453,0.00553846,3835,0.00671816,0,0,0.0372993,0.0272993,2,3,7,429516,0,0,524288,0,0,0,1,
14.9803,14.9449,0.0243802,14.9377,8.51954,95227756,1.94538,16095282,0.00801539,45453,0.00553846,3835,0.00671816,0,0,0.0372993,0.0272993,2,3,7,429516,0,0,524288,0,0,0,1,
14.9805,14.9449,0.0243802,14.9377,8.51954,95227756,1.94538,16095282,0.00801539,45453,0.00553846,3835,0.00671816,0,0,0.0372993,0.0272993,2,3,7,429520,0,0,524288,0,0,0,1,
